timestamp,machine_id,temperature_c,vibration_mm_s,rpm,current_a,load_pct,belt_speed_mps,throughput_units_min,ambient_temperature_c,operating_mode,machine_state,fault_label,fault_severity
2026-05-20T14:00:00,line1_motor1,60.02,0.629,1477.8,10.07,64.13,1.345,99.5,22.89,production,normal,normal,none
2026-05-20T14:00:01,line1_motor1,59.91,0.661,1501.3,10.38,66.16,1.341,98.34,23.34,production,normal,normal,none
2026-05-20T14:00:02,line1_motor1,61.57,0.664,1495.6,10.43,68.43,1.38,112.4,22.53,production,normal,normal,none
2026-05-20T14:00:03,line1_motor1,62.5,0.671,1472.9,10.71,73.53,1.331,113.64,23.48,production,normal,normal,none
2026-05-20T14:00:04,line1_motor1,61.16,0.64,1504.5,11.16,68.89,1.332,109.75,23.05,production,normal,normal,none
2026-05-20T14:00:05,line1_motor1,62.52,0.668,1487.5,11.6,71.62,1.347,106.93,22.97,production,normal,normal,none
2026-05-20T14:00:06,line1_motor1,62.34,0.755,1483.5,10.73,71.55,1.356,109.83,23.34,production,normal,normal,none
2026-05-20T14:00:07,line1_motor1,61.69,0.679,1504.5,11.02,69.47,1.338,109.28,23.37,production,normal,normal,none
2026-05-20T14:00:08,line1_motor1,60.92,0.632,1492.0,10.52,67.34,1.363,106.11,23.14,production,normal,normal,none
2026-05-20T14:00:09,line1_motor1,64.02,0.7,1509.0,11.39,73.0,1.369,119.4,23.05,production,normal,normal,none
2026-05-20T14:00:10,line1_motor1,62.75,0.647,1496.9,11.36,71.88,1.334,112.32,23.32,production,normal,normal,none
2026-05-20T14:00:11,line1_motor1,61.56,0.761,1504.1,10.61,70.11,1.389,110.26,22.6,production,normal,normal,none
2026-05-20T14:00:12,line1_motor1,59.85,0.632,1513.8,10.64,63.56,1.389,94.72,23.54,production,normal,normal,none
2026-05-20T14:00:13,line1_motor1,63.61,0.66,1500.2,11.39,73.21,1.332,109.83,23.03,production,normal,normal,none
2026-05-20T14:00:14,line1_motor1,65.65,0.697,1482.9,11.06,74.16,1.306,113.91,22.38,production,normal,normal,none
2026-05-20T14:00:15,line1_motor1,63.17,0.65,1507.1,11.14,70.92,1.353,105.25,23.08,production,normal,normal,none
2026-05-20T14:00:16,line1_motor1,62.55,0.648,1489.1,10.87,71.16,1.323,109.4,23.43,production,normal,normal,none
2026-05-20T14:00:17,line1_motor1,62.93,0.663,1515.8,11.24,71.51,1.358,114.96,23.07,production,normal,normal,none
2026-05-20T14:00:18,line1_motor1,63.34,0.695,1484.1,11.69,72.74,1.303,107.38,23.47,production,normal,normal,none
2026-05-20T14:00:19,line1_motor1,60.6,0.641,1480.1,10.91,69.84,1.323,106.01,23.45,production,normal,normal,none
2026-05-20T14:00:20,line1_motor1,64.06,0.775,1496.3,11.73,75.84,1.363,113.04,23.17,production,normal,normal,none
2026-05-20T14:00:21,line1_motor1,63.33,0.66,1482.6,11.17,73.63,1.316,106.38,22.97,production,normal,normal,none
2026-05-20T14:00:22,line1_motor1,63.51,0.726,1492.1,11.02,72.49,1.358,114.27,22.67,production,normal,normal,none
2026-05-20T14:00:23,line1_motor1,62.58,0.729,1487.7,11.6,73.97,1.341,115.75,23.41,production,normal,normal,none
2026-05-20T14:00:24,line1_motor1,64.69,0.707,1502.0,11.84,79.66,1.36,124.99,23.82,production,normal,normal,none
2026-05-20T14:00:25,line1_motor1,64.47,0.675,1478.4,12.1,76.0,1.317,114.35,23.09,production,normal,normal,none
2026-05-20T14:00:26,line1_motor1,64.66,0.727,1507.5,11.37,75.59,1.351,116.32,23.06,production,normal,normal,none
2026-05-20T14:00:27,line1_motor1,64.44,0.77,1484.6,11.76,76.67,1.323,120.33,23.32,production,normal,normal,none
2026-05-20T14:00:28,line1_motor1,64.15,0.712,1486.6,12.54,76.37,1.368,116.17,23.45,production,normal,normal,none
2026-05-20T14:00:29,line1_motor1,65.17,0.682,1484.4,12.1,76.99,1.351,124.22,22.88,production,normal,normal,none
2026-05-20T14:00:30,line1_motor1,65.8,0.762,1495.5,12.69,81.65,1.338,132.01,23.15,production,normal,normal,none
2026-05-20T14:00:31,line1_motor1,63.95,0.681,1479.2,11.72,76.24,1.314,112.55,22.97,production,normal,normal,none
2026-05-20T14:00:32,line1_motor1,63.06,0.716,1487.6,10.89,72.27,1.359,111.37,22.78,production,normal,normal,none
2026-05-20T14:00:33,line1_motor1,66.15,0.746,1483.1,12.32,79.81,1.322,125.46,23.21,production,normal,normal,none
2026-05-20T14:00:34,line1_motor1,65.38,0.725,1502.5,11.71,77.56,1.333,117.82,22.88,production,normal,normal,none
2026-05-20T14:00:35,line1_motor1,67.15,0.739,1497.1,12.2,80.44,1.361,121.72,23.27,production,normal,normal,none
2026-05-20T14:00:36,line1_motor1,63.65,0.696,1485.7,11.64,77.15,1.355,121.59,23.51,production,normal,normal,none
2026-05-20T14:00:37,line1_motor1,63.8,0.689,1504.3,11.1,76.64,1.308,114.77,22.92,production,normal,normal,none
